"","Authors","Year","Title","Objectives","Journal","URL"
"102","Machado et al",2011,"Carga Global da Doença na região Norte de Portugal","This study was aimed to strengthen the evidence base that will inform the next Regional (Northern Region Health Administration) and Local (Primary Health Care Groups) Health Plans, revealing new health needs and problems of the population(s).","Departamento de Saúde Pública","http://portal.arsnorte.min-saude.pt/portal/page/portal/ARSNorte/Conte%C3%BAdos/Sa%C3%BAde%20P%C3%BAblica%20Conteudos/Carga_Global_Doenca_Regiao_Norte_2004.pdf"
"103","Maertens de Noordhout et al",2017,"Burden of salmonellosis, campylobacteriosis and listeriosis: A time series analysis, Belgium, 2012 to 2020","To estimate and forecaste the number of cases of these three diseases in Belgium from 2012 to 2020, and calculated the corresponding number of disability-adjusted life years (DALYs).","Euro Surveill","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/28935025/"
"104","Maertens de Noordhout et al",2018,"Changes in health in Belgium, 1990-2016: a benchmarking analysis based on the global burden of disease 2016 study","To perform an in-depth analysis of the secular trend of Belgian health status using the Global Burden of Disease (GBD) 2016 study results for Belgium, and to compare these results with other European countries.","BMC Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L627709502"
"105","Mangen et al",2017,"Disease burden of food-related pathogens in the Netherlands, 2016","The research presented in this report results in more insight in the true incidence of foodborne diseases and the associated disease burden and costs-of-illness and enables researchers and policy-makers to monitor trends in time for these 14 pathogens","RIVM","https://www.rivm.nl/publicaties/disease-burden-of-food-related-pathogens-in-netherlands-2016"
"106","Mangen et al",2013,"The pathogen- and incidence-based DALY approach: an appropriate","The European Centre for Disease Prevention and Control initiated the ‘Burden of Communicable Diseases in Europe (BCoDE)’ project to generate evidence-based and comparable burden-of-disease estimates of infectious diseases in Europe. The burden-of-disease metric used was the Disability-Adjusted Life Year (DALY), composed of years of life lost due to premature death (YLL) and due to disability (YLD). To better represent infectious diseases, a pathogen-based approach was used linking incident cases to sequelae through outcome trees. Health outcomes were included if an evidence-based causal relationship between infection and outcome was established. Life expectancy and disability weights were taken from the Global Burden of Disease Study and alternative studies. Disease progression parameters were based on literature. Countryspecific incidence was based on surveillance data corrected for underestimation. Non-typhoidal Salmonella spp. and Campylobacter spp. were used for illustration. Using the incidence- and pathogen-based DALY approach the total burden for Salmonella spp. and Campylobacter spp. was estimated at 730 DALYs and at 1,780 DALYs per year in the Netherlands (average of 2005–2007). Sequelae accounted for 56% and 82% of the total burden of Salmonella spp. and Campylobacter spp., respectively. The incidence- and pathogen-based DALY methodology allows in the case of infectious diseases a more comprehensive calculation of the disease burden as subsequent sequelae are fully taken into account. Not considering subsequent sequelae would strongly underestimate the burden of infectious diseases. Estimates can be used to support prioritisation and comparison of infectious diseases and other health conditions, both within a country and between countries.","PLoS One","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0079740&type=printable"
"107","Mangen et al",2013,"Cost-of-illness and disease burden of food-related pathogens in the Netherlands, 2011","To inform risk management decisions on control and prevention of food-related disease, both the disease burden expressed in Disability Adjusted Life Years (DALY) and the cost-of-illness of food-related pathogens are estimated and presented. Disease burden of fourteen pathogens that can be transmitted by food, the environment, animals and humans was previously estimated by Havelaar et al. (2012). In this paper we complement these by cost-ofillness estimates. Together, these present a complete picture of the societal burden of food-related diseases","RIVM","https://rivm.openrepository.com/bitstream/handle/10029/305610/330331007.pdf?sequence=3"
"108","Mangen et al",2016,"The burden of Campylobacter-associated disease in six European countries","To estimate the burden of disease associated with thermophilic Campylobacter spp. in Denmark, the Netherlands, Norway, Poland, Spain and the United Kingdom, to be used in an economic evaluation of interventions to reduce human campylobacteriosis","Microb Risk Anal","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L613175455"
"109","Mangen et al",2004,"Campylobacteriosis and sequelae in the Netherlands - Estimating the disease burden and the cost-of-illness","Each year, approximately 80,000 persons per year (range 30,000 - 160,000) are estimated to experience symptoms of acute gastro-enteritis as a consequence of infection with Campylobacter bacteria. On average 18,000 patients consult a general practitioner and 500 patients are hospitalised; for some 30 cases the disease could be fatal. Additionally, each year some 1400 cases of reactive arthritis, 60 cases of Guillain-Barre syndrome and 10 cases of inflammatory bowel disease are associated with a previous Campylobacter infection. The disease burden and the cost-of-illness of Campylobacter infections and sequelae were estimated using a stochastic simulation model. Disease burden was expressed in Disability Adjusted Life Years (DALYs), the sum of years of life lost and years lived with disability, weighted for the severity of disease. Considered in the cost-of-illness were direct health-care costs (e.g. doctors' consultations, hospitalisation, rehabilitation), direct non-health-care costs (e.g. travel costs of patients, co-payments by patients) and indirect non-health-care costs (productivity losses), using cost estimates for the year 2000. The disease burden associated with Campylobacter infections was estimated at 1200 DALYs per year, with a 90% uncertainty interval of between 900 and 1600 DALYs per year. The costs-of-illness were estimated to total 21 million per year with a 90% confidence interval of between 11 million and 36 million per year. Hence, Campylobacter infections pose an important public health problem for the Netherlands and incur substantial costs.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/250911004.html"
"110","Mangen et al",2013,"Disease burden and cost-of-illness of food-related pathogens in the Netherlands, 2011","Op verzoek van het ministerie van VWS onderzoekt het RIVM de maatschappelijke kosten van 14 ziekteverwekkers; vanaf 2011 wordt dit jaarlijks in kaart gebracht. De infecties die de ziekteverwekkers veroorzaken, kunnen worden overgedragen via voedsel, de mens, het milieu of dieren (zoönosen). De geschatte kosten van de 14 ziekteverwekkers bedroegen in 2011 416 miljoen euro. De meeste mensen worden ziek van een besmetting met het norovirus, de Campylobacter-bacterie en het rotavirus waardoor deze de hoogste kosten met zich meebrengen. Als naar de kosten per patiënt wordt gekeken, zijn deze het hoogst bij een besmetting door de bacterie Listeria monocytogenes, de parasiet Toxoplasma gondii, en het hepatitis E-virus omdat deze relatief ernstige ziekteverschijnselen veroorzaken.","RIVM","https://www.rivm.nl/publicaties/disease-burden-and-cost-of-illness-of-food-related-pathogens-in-netherlands"
"111","Mariotti et al",2003,"Years of life lost due to premature mortality in Italy","To provide more insight into the leading causes of death in Italy and is the first vital step in ascertaining Italy’s total burden of disease;","European Journal of Epidemiology","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L36899555"
"112","Mastrandrea et al",2012,"A retrospective study on burden of human echinococcosis based on Hospital Discharge Records from 2001 to 2009 in Sardinia, Italy","Cystic Echinococcosis (CE) is an infective zoonosis that represents a worldwide important public health problem. In humans, its manifestations may range from asymptomatic infection to severe disease and possible death, and lead to economic losses from treatment costs and lost wages. Recent studies suggest that this disease has a large social impact in endemic areas, and estimates of burden in terms of monetary and no-monetary impact on human health are essential to allocate financial and technical resources. In Sardinia, the most affected Italian region per number of inhabitants, CE is still endemic, although three eradication campaigns have been carried out in 1962, 1978, and 1987, respectively. To date, the burden of human CE in Sardinia remains poorly defined. In this work, a retrospective study was carried out using public Hospital Discharge Records spanning from 2001 to 2009. During these years, a total of 1409 discharges were recorded: 1196 (84.88%) records corresponding to patients hospitalized for symptoms directly correlated to CE (primary diagnosis), and 213 (15.11%) records corresponding to patients hospitalized for symptoms not directly correlated to CE and with an afterwards or concurrent diagnosis of echinococcosis made during the hospitalization (secondary diagnosis). The annual regional average record (discharge rate) was 9.3/100,000 inhabitants. Direct cost associated with diagnosis, surgery or chemotherapy, medical care, and hospitalization in humans were evaluated in this work. Furthermore, burden of disease was also evaluated by using the disability-adjusted life years (DALYs), the preferred disease-burden measure of the World Health Organization. Knowing the burden of human CE in Sardinia is extremely important to enable the prioritization of control measures for this preventable neglected disease. This is the first study describing the measure of the overall disease burden in an Italian region endemic for this disease, performed by calculating the number of CE patients from Hospital Discharge Records.","Acta Trop","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/22634205/"
"113","McDonald et al",2013,"Effects of an ageing population and the replacement of immune birth cohorts on the burden of hepatitis A in the Netherlands","To qualitatively investigate the interaction of this cohort effect and demographic change (population ageing) on the estimated disease burden of HAV infection in the Netherlands.","BMC Infect Dis","https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-13-120"
"114","McDonald et al",2017,"Disease burden of human papillomavirus infection in the Netherlands, 1989–2014: the gap between females and males is diminishing","Besides cervical cancer, HPV infection is linked to a multitude of diseases in both males and females, suggesting that vaccination programmes should be re-evaluated, with a judicious assessment made of the disease burden stratified by sex, age, and genotype. Projections of burden into the near future are also needed to provide a benchmark for evaluating the impact of vaccination programmes, and to assess the need for scaling-up preventive measures.","Cancer Causes Control","https://pubmed.ncbi.nlm.nih.gov/28213874/"
"115","McDonald et al",2012,"The impact of demographic change on the estimated future burden of infectious diseases: examples from hepatitis B and seasonal influenza in the Netherlands","To qualitatively explore the impact of population ageing on the estimated future burden of seasonal influenza and hepatitis B virus (HBV) infection in the Netherlands, in the period 2000–2030.","BMC Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/23217094/"
"116","McDonald et al",2018,"Years of Life Lost Due to Influenza-Attributable Mortality in Older Adults in the Netherlands: A Competing-Risks Approach","To estimate the influenza mortality burden in adults aged 60 years or older in the Netherlands in terms of years of life lost, taking into account competing mortality risks.","Am J Epidemiol","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/29420681/"
"117","Meijerink et al",2017,"Modelling the burden of hepatitis C infection among people who inject drugs in Norway, 1973-2030","We rely on modelling to estimate the incidence and burden of HCV infections.","BMC Infect Dis","https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-017-2631-2"
"118","Melse & Kramers",1998,"Berekeningen van de ziektelast in Nederland. Achtergronddocument bij VTV-1997 deel III, hoofdstuk 7","Dit rapport bestaat uit twee delen. Deel A is een vrijwel integrale weergave van de tekst van hoofdstuk 7 uit VTV-1997 III: Gezondheid en levensverwachting gewogen. In dit hoofdstuk is een schatting gemaakt van de ziektelast in Nederland voor de in VTV-1997 geselecteerde aandoeningen , op basis van elders berekende wegingsfactoren voor ziekte en de gegevens over prevalentie, incidentie en verloren levensjaren die voor VTV-1997 verzameld zijn. De ziektelast wordt uitgedrukt in DALY's (Disability-Adjusted Life Years), die een optelling zijn van ziektejaar-equivalenten en verloren levensjaren. De ziektejaar-equivalenten worden berekend als de prevalentie maal een wegingsfactor voor de ernst van de aandoening. Een opvallend resultaat was dat de hart- en vaatziekten en kankers verantwoordelijk waren voor het grootste deel van de verloren levensjaren, terwijl de psychische aandoeningen en de lichamelijke chronische aandoeningen juist het grootste deel van de ziektejaarequivalenten voor hun rekening namen. In de beschouwing worden de belangrijkste onzekerheden en problemen van deze benadering besproken. Deel B bevat de berekeningen van de ziektejaar-equivalenten en DALY's per aandoening, gerangschikt naar ICD-hoofdgroep.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/431501028.html"
"119","Melse et al",2000,"A national burden of disease calculation: Dutch disability-adjusted life-years. Dutch Burden of Disease Group","To estimate the burden of disease due to 48 major causes in the Netherlands in 1994 in disability-adjusted life-years (DALYs), using national epidemiologic data and disability weights, and explored associated problems and uncertainties.","American Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L30497377"
"120","Mesalles-Naranjo et al",2018,"Trends and inequalities in the burden of mortality in Scotland 2000–2015","To describe the trends in Years of Life Lost (YLL) for specific causes of death in Scotland from 2000 to 2015.","PLoS ONE","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L623280945"
"121","Milicevic et al",2009,"Serbia within the European context: An analysis of premature mortality","To analyze similarities and differences in premature mortality between Serbia, EURO A, EURO B, and EURO C regions in 2000","Population Health Metrics","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L355235151"
"122","Mokdad et al",2016,"Global burden of diseases, injuries, and risk factors for young people's health during 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","To report the past, present, and anticipated burden of disease in young people aged 10–24 years from 1990 to 2013 using data on mortality, disability, injuries, and health risk factors","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L610888680"
"123","Monasta et al",2019,"Italy's health performance, 1990–2017: findings from the Global Burden of Disease Study 2017","To understand the patterns of health loss and response of the health-care system, and offer evidence-based policy indications in light of the demographic transition and government health spending in the country","Lancet Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2005226262"
"124","Mota et al",2019,"Estimation of the burden of iron deficiency anemia in France from iron intake: Methodological approach","To build an original probabilistic model to quantitatively assess the ID, the iron deficiency anemia (IDA) and the subsequent health burden in France expressed in DALY, per age class and gender","Nutrients","https://www.mdpi.com/2072-6643/11/9/2045"
"125","Muehlberger et al",2009,"IHCV-related burden of disease in Europe: a systematic assessment of incidence, prevalence, morbidity, and mortality","To summarise burden of disease data presently available for Europe, compared the data to current expert estimates, and identified areas in which better data are needed.","BMC Public Health","https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-9-34"
"126","Müller et al",2017,"Assessment of the risk of foodborne transmission and burden of hepatitis E in Switzerland","The objective of this study was i) to quantify the risk of hepatitis E for Swiss consumers by specified pork products and ii) to estimate the total burden of human food-borne hepatitis E in Switzerland.","International Journal of Food Microbiology","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/27919006/"
"127","Murray et al",2015,"Global, regional, and national disability-adjusted life years (DALYs) for 306 diseases and injuries and healthy life expectancy (HALE) for 188 countries, 1990-2013: quantifying the epidemiological transition","To calculate DALYs and HALE for 306 diseases and injuries for 188 countries from 1990 to 2013","Lancet","https://www.sciencedirect.com/science/article/pii/S014067361561340X"
"128","Murray et al",2013,"UK health performance: findings of the Global Burden of Disease Study 2010","To examine the patterns of health loss in the UK, the leading preventable risks that explain some of these patterns, and how UK outcomes compare with a set of comparable countries in the European Union and elsewhere in 1990 and 2010.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52479090"
"129","Murray et al",2012,"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","To calculate disease burden worldwide and for 21 regions for 1990, 2005, and 2010 with methods to enable meaningful comparisons over time.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L366291522"
"130","Naghavi et al",2017,"Global, regional, and national age-sex specific mortality for 264 causes of death, 1980–2016: a systematic analysis for the Global Burden of Disease Study 2016","To estimate mortality for 264 causes by sex for 23 age groups in 195 countries or territories from 1980 to 2016","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L618844567"
"131","Newton et al",2015,"Changes in health in England, with analysis by English regions and areas of deprivation, 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","To analyse the burden of disease and injury in England as a whole, in English regions, and within each English region by deprivation quintile; * to assess disease and injury burden in England attributable to potentially preventable risk factors","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L606042336"
"132","Nielsen et al",2004,"Burden of mortality in Greenland--today and tomorrow","Investigation of the relative impact of three factors expected to influence the future mortality burden in Greenland: demographic change, epidemiological transition and behavioural patterns.","Int J Circumpolar Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/15736628/"
"133","Nissen et al",2017,"The disease burden of congenital toxoplasmosis in Denmark, 2014","Using data primarily from two public health surveillance programmes conducted between 1992 and 2007, we estimated the incidence, occurrence of sequelae, mortality and the burden of disease in terms of disability-adjusted life years (DALYs) of CT in Denmark in 2014.","PLoS ONE","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/28558051/"
"134","Nylen et al",1999,"Mortality in young adults in England and Wales: the impact of the HIV epidemic","To quantify the contribution of the HIV epidemic to premature mortality in England and Wales 1985–1996.","Wolters Kluwer AIDS","https://journals.lww.com/aidsonline/fulltext/1999/08200/mortality_in_young_adults_in_england_and_wales_.14.aspx"
"135","Odnoletkova et al",2018,"The burden of common variable immunodeficiency disorders: A retrospective analysis of the European Society for Immunodeficiency (ESID) registry data 11 Medical and Health Sciences 1117 Public Health and Health Services","We performed a retrospective analysis of the European Society for Immunodeficiencies (ESID) registry data on the subset of patients classified by their immunologist as CVID and treated between 2004 and 2014","Orphanet Journal of Rare Diseases","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L624843193"
"136","Øverland et al",2018,"Sykdomsbyrden i Norge 2016","Resultater fra Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016)","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2018/sykdomsbyrden-i-norge-i-2016.pdf"
"137","Papadopoulos et al",2019,"The health and economic impact of acute gastroenteritis in Belgium, 2010–2014","To estimate the burden of illness during a 5-year period (2010–2014) in Belgium in terms of deaths, patients admitted to hospitals, patients consulting their general practitioner (GP) and cases occurring in the community","Epidemiol Infect","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629008862"
"138","Pijnacker et al",2018,"Disease burden of food-related pathogens in the Netherlands, 2018","To update the trend information for some of these pathogens in the coming year.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2019-0086.pdf"
"139","Pires et al",2014,"Burden of Disease of Foodborne Pathogens in Denmark","(1) To provide science-based evidence of the impact of food-associated diseases, including microbial and chemical foodborne diseases, and diet-related diseases; (2) To provide options for intervention in the food chain to reduce the burden of food-associated diseases at Danish and international level.","DTU Food; National Food Institute","http://www.food.dtu.dk/english/news/2014/11/the-real-disease-burden-of-foodborne-infections?id=2f65b777-be4e-4109-8503-5c3934b33cba"
"140","Pires et al",2019,"Burden of Disease Estimates of Seven Pathogens Commonly Transmitted Through Foods in Denmark, 2017","To estimate the incidence and foodborne burden of disease (in DALYs) of seven pathogens in Denmark, a country with a free public health care system and nationwide data on notifiable FBDs available","Foodborne Pathogens and Disease","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629928567"
"141","Plass et al",2014,"Trends in disease burden in Germany: results, implications and limitations of the Global Burden of Disease study","To describe and discuss the freely available data for Germany from GBD 2010","Deutsches Ärzteblatt Internationa","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L600162845"
"142","Plass et al",2014,"The disease burden of hepatitis B, influenza, measles and salmonellosis in Germany: First results of the Burden of Communicable Diseases in Europe Study","To present estimates of disease burden for four pathogens in Germany","Epidemiol Infect","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/24480146/"
"143","Powles et al",2005,"The contribution of leading diseases and risk factors to excess losses of healthy life in eastern Europe: burden of disease study","In analyzing the causes of the marked differences in health levels across Europe, we have deliberately restricted our scope to the more proximal determinants ('risk factors'), because knowledge of their role is more secure and lends itself more readily to quantitative analysis.","BMC Public Health","https://www-ncbi-nlm-nih-gov.eur.idm.oclc.org/pmc/articles/PMC1298310/pdf/1471-2458-5-116.pdf"
"144","Rahamat et al",2006,"Staat van Infectieziekten in Nederland, 2000 - 2005","De Staat van Infectieziekten beoogt inzicht te geven in de infectieziektenproblematiek in Nederland. De inhoud is primair gericht op beleidsmakers bij het Ministerie van Volksgezondheid, Welzijn en Sport en bij het Centrum Infectieziektebestrijding (CIb) van het RIVM. Deze Staat van Infectieziekten geeft een overzicht van belangrijke ontwikkelingen en gebeurtenissen in de periode 2000-2005. Daarnaast werd speciale aandacht besteed aan de ziektelast en kosten van infectieziekten.","RIVM","https://www.rivm.nl/publicaties/staat-van-infectieziekten-in-nederland-2000-2005"
"145","Reij et al",2009,"Perspective on the risk to infants in the Netherlands associated with Cronobacter spp. occurring in powdered infant formula","Cronobacter spp. has been responsible for severe infections in infants. Relative risks associated with this organism in powdered infant formula (PIF) have been described in several studies. To set priorities and decide on risk management options, it is important for risk managers to have a quantitative perspective on the absolute level of risk of this pathogen within the totality of the burden of illnesses in the population. This study set-out to establish such a perspective for The Netherlands. It addresses the impact of heterogeneity in the distribution of the micro-organism in PIF on risk levels. Based on the assumptions in this study, 60% of formula-fed infants are estimated not to be exposed to Cronobacter spp. during their neonatal period. The mean exposure was calculated to be about 1 cfu per infant over the total neonatal period. Even after thorough mixing, artificially contaminated powder shows counts which are more variable than expected from a normal, homogeneous distribution. Therefore, mean exposure levels may not represent a good basis for calculating risks. The burden of disease of Cronobacter infections to the Dutch population was estimated to be 19–24 Disability Adjusted Life Years (DALYs) per year, of which 95% are due to meningitis. As compared to other illnesses Cronobacter infections represent 0.5–2.4% of the total estimated burden of foodborne infections and intoxications. The organism is estimated to be responsible for 0.5–0.7% of the meningitis burden to the entire population of The Netherlands","International Journal of Food Microbiology","https://research.wur.nl/en/publications/perspective-on-the-risk-to-infants-in-the-netherlands-associated-"
"146","Rommel et al",2018,"BURDEN 2020 – Krankheitslast in Deutschland auf nationaler und regionaler Ebene","The aim of this article is to describe the potential of the BURDEN 2020 project in more detail. It begins by introducing the burden of disease approach before presenting the potential benefits that can be expected from BURDEN 2020. This discussion is embedded in the context of the experiences already gained by other European countries","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","https://edoc.rki.de/bitstream/handle/176904/6798/Rommel2018_Article_BURDEN2020BurdenOfDiseaseInGer.pdf?sequence=1"
"147","Roth et al",2018,"Global, regional, and national age-sex-specific mortality for 282 causes of death in 195 countries and territories, 1980–2017: a systematic analysis for the Global Burden of Disease Study 2017","To report an update to that study, making use of newly available data and improved methods. GBD 2017 provides a comprehensive assessment of cause-specific mortality for 282 causes in 195 countries and territories from 1980 to 2017.","The Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)32203-7/fulltext#seccestitle10"
"148","Sabbatucci et al",2019,"Estimated burden of Chlamydia trachomatis female infection and consequent severe pelvic inflammatory disease, Italy, 2005-2016","To analyse the trend of Ct genital infection among women (outpatients or hospitalised cases) in Italy. The above datasources are evaluated together for the first time to provide estimates on the national burden of female Ct genital infection and its sequelae in terms of DALYs.","Ann Ist Super Sanita","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629416403"
"149","Santos et al",2019,"The state of health in the European Union (EU-28) in 2017: an analysis of the burden of diseases and injuries","To describe the state of health in the EU-28 in 2017 and how it has changed since 2007","European Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L630156260"
"150","Schopper et al",2000,"Estimating the burden of disease in one Swiss canton: what do disability adjusted life years (DALY) tell us?","To identify the relative importance of specific diseases and injuries in the overall disease burden in the canton of Geneva","International Journal of Epidemiology","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L30831271"
"151","Simón Méndez et al",2011,"Transmissibility and severity of the pandemic influenza A (H1N1) 2009 virus in Spain","To estimate the value of the basic reproduction number for the pandemic wave of influenza A (H1N1) 2009 in Spain and to assess its impact on morbidity and mortality in the Spanish population compared with those in the previous influenza season.","Gaceta Sanitaria","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/21543138/"
"152","Simonsen et al",2013,"Global Mortality Estimates for the 2009 Influenza Pandemic from the GLaMOR Project: A Modeling Study","We estimated the 2009 pandemic mortality burden through statistical modeling of mortality data from multiple countries.","PLoS One","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001558"
"153","Šmit et al",2015,"The burden of tick-borne encephalitis in disability-adjusted life years (DALYs) for Slovenia","To estimate the burden of TBE in Slovenia, expressed in DALYs, both from the population and individual perspectives. We discuss the impact of TBE burden on public health and potential strategies to reduce this burden in tlovenia.","PLoS ONE","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L608001069"
"154","Soriano et al",2018,"The burden of disease in Spain: Results from the Global Burden of Disease 2016","To provide an updated description of the current state of health in Spain *report trends in mortality and morbidity from 1990 to 2016","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2000967624"
"155","Stanaway et al",2016,"The global burden of dengue: an analysis from the Global Burden of Disease Study 2013","To estimate dengue mortality, incidence, and burden for the Global Burden of Disease Study 2013.","Lancet Infect Dis","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/26874619/"
"156","Stanaway et al",2016,"The global burden of viral hepatitis from 1990 to 2013: findings from the Global Burden of Disease Study 2013","We used data from the Global Burden of Disease (GBD) Study to estimate morbidity and mortality for acute viral hepatitis, and for cirrhosis and liver cancer caused by viral hepatitis, by age, sex, and country from 1990 to 2013.","Lancet","https://repub.eur.nl/pub/97587/"
"157","Starodubov et al",2018,"The burden of disease in Russia from 1980 to 2016: a systematic analysis for the Global Burden of Disease Study 2016","To evaluate trends in mortality, causes of death, years lived with disability (YLDs), years of life lost (YLLs), disability-adjusted life-years (DALYs), and associated risk factors in Russia from 1980 to 2016.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001134664"
"158","Steel et al",2018,"Changes in health in the countries of the UK and 150 English Local Authority areas 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016","To present updated GBD 2016 estimates for the UK from 1990 to 20; * to explain the causes of the slowdown in the improvements in life expectancy since 2010; * to guide to rational priority setting for health and social policy","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001247593"
"159","Stockton et al",2016,"The Scottish Burden of Disease (SBoD) study; Deprivation report","To detail both the absolute inequalities which reflect the magnitude of difference in burden between two subgroups and relative inequalities which show the proportional differences in health among subgroups.","Public Health Information for Scotland (ScotPHO)","https://www.scotpho.org.uk/media/1656/sbod2016-deprivation-report-aug18.pdf"
"160","Tariq et al",2011,"Cost of illness and disease burden in the Netherlands due to infections with Shiga toxin-producing Escherichia coli O157","In the present study, we extended the previous estimates of the burden of disease associated with STEC O157 infection with estimates of the COI in The Netherlands, using a previously developed detailed epidemiological model (13). We also present the impact of discounting on these estimates.","Journal of Food Protection","https://watermark-silverchair-com.eur.idm.oclc.org/0362-028x_jfp-10-252.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsAwggK8BgkqhkiG9w0BBwagggKtMIICqQIBADCCAqIGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMU8hxSxFQJfKcer-cAgEQgIICc9ErbjkeYWFz1UGxW7er18Ml0GULhAMo7neBllRDTz4w2iXM9GJgjqZjM25uLOZvKIVTJcxNpK8AxOJXyGhtvpPuTwf7JNBuUs5MB3suQ5vxlGoX2aHueW-cS3kkfM4SThwFXSM9ILlap_UOMSeytr5cnGwiMe_t_vCTai1_BeDke5Xbm3wSqLVkmxsvPRq0uwTHNLKxeWuZzc7Ow6bAZg57eXYanQeqPrMVsr-qMrzjeK-0bzfs85dW7hgVtNfcjgio7VaZ8_9-g6uC5Q9XBnXmf_r3Xxbnx6L2KjcTC11HXHO1O2_F2Crp1AyynWxy7SVIzsm55vPxvYt9vHETIThp8aW3HWN0bG9fpKSjT0GilPC5vKvCXNn5bOrQhIqQIkSO2S4hmqyJVurWeHakCIz9sUhQYxx4-NgnhC3QYvPE8e522qxVAUjDYgsxros_a4RKnRdWDB1LymO91mqxDwQD0nDgCkCGBnTAsTRzkFw5cDdFyKnO1hEy7cguxywpoK84CdNvCjCUnY4qz0SOLXu4DBJEGG8SaNegFDaqQPGwL2IhYcVmKRM3_jqqwmPPF7LPnbuH7MlmTvEvz2dX8VX-BASe0IOi2GK6g5-anoPj9tKBqlZZDos4W3uZ4wnZeGQWH9xA3W9enHz8AyaR2zpEMdBH-g7afuXmKDYdLgJ08YEUfZuvMW4zWF3Ari2Enl0ksu_QY4XTzD5SMatkByJSlWwFGkHVyAu3hhqElKZfnc31tswBjR7lCZwREzmQf9uE8DcsTKIZI9iBHLjOcawdYbN3xnCkv8xBzPsAIffIXpwkbtShSOIR-RW6XRHrO2nhLw"
"161","Toljander et al",2012,"Public health burden due to infections by verocytotoxin-producing Escherichia coli (VTEC) and Campylobacter spp. as estimated by cost of illness and different approaches to model disability-adjusted life years","To estimate disability-adjusted life years (DALY) and cost of illness (COI) associated with the gastrointestinal bacterial pathogens Campylobacter and verocytotoxin-producing Escherichia coli (VTEC) in Sweden and to investigate the impact of variability in health outcomes, data availability, and different assumptions about underreporting on DALY.","Scand J Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/22312030/"
